Exercise,Date,Reps,Weight(lbs),Incline,Resistance,multiplier,Volume
Barbell Curl,2019-10-20,6,49.985938619807506,0.0,0.0,1.0,299.915631718845
Barbell Curl,2020-01-17,6,49.985938619807506,0.0,0.0,1.0,299.915631718845
Barbell Curl,2020-01-17,6,49.985938619807506,0.0,0.0,1.0,299.915631718845
Barbell Curl,2020-01-17,4,49.985938619807506,0.0,0.0,1.0,199.94375447923002
Barbell Curl,2020-01-17,6,49.985938619807506,0.0,0.0,1.0,299.915631718845
Barbell Curl,2020-01-17,6,49.985938619807506,0.0,0.0,1.0,299.915631718845
Barbell Curl,2020-03-01,8,54.984532481788264,0.0,0.0,1.0,439.8762598543061
Barbell Curl,2020-03-01,10,44.987344757826754,0.0,0.0,1.0,449.87344757826753
Barbell Curl,2020-03-01,8,54.984532481788264,0.0,0.0,1.0,439.8762598543061
Barbell Curl,2020-03-01,8,54.984532481788264,0.0,0.0,1.0,439.8762598543061
Barbell Curl,2020-01-13,8,44.987344757826754,0.0,0.0,1.0,359.89875806261404
Barbell Curl,2020-01-06,6,44.987344757826754,0.0,0.0,1.0,269.92406854696054
Barbell Curl,2020-01-06,6,44.987344757826754,0.0,0.0,1.0,269.92406854696054
Barbell Curl,2019-10-13,10,39.988750895846,0.0,0.0,1.0,399.88750895846005
Barbell Curl,2019-10-13,10,39.988750895846,0.0,0.0,1.0,399.88750895846005
Barbell Curl,2019-10-13,10,39.988750895846,0.0,0.0,1.0,399.88750895846005
Barbell Curl,2020-01-04,10,34.99015703386525,0.0,0.0,1.0,349.9015703386525
Barbell Curl,2020-01-20,6,49.985938619807506,0.0,0.0,1.0,299.915631718845
Barbell Curl,2020-01-20,6,49.985938619807506,0.0,0.0,1.0,299.915631718845
Barbell Curl,2020-01-20,6,49.985938619807506,0.0,0.0,1.0,299.915631718845
Barbell Curl,2020-01-13,6,44.987344757826754,0.0,0.0,1.0,269.92406854696054
Barbell Curl,2020-01-04,10,34.99015703386525,0.0,0.0,1.0,349.9015703386525
Barbell Curl,2020-01-13,6,44.987344757826754,0.0,0.0,1.0,269.92406854696054
Barbell Curl,2020-01-13,6,44.987344757826754,0.0,0.0,1.0,269.92406854696054
Barbell Curl,2020-09-11,10,29.991563171884504,0.0,0.0,1.0,299.915631718845
Barbell Curl,2020-09-11,10,29.991563171884504,0.0,0.0,1.0,299.915631718845
Barbell Curl,2020-09-11,8,29.991563171884504,0.0,0.0,1.0,239.93250537507603
Barbell Curl,2020-01-04,7,44.987344757826754,0.0,0.0,1.0,314.9114133047873
Barbell Curl,2020-01-04,8,44.987344757826754,0.0,0.0,1.0,359.89875806261404
Barbell Curl,2020-01-04,8,44.987344757826754,0.0,0.0,1.0,359.89875806261404
Barbell Curl,2020-01-13,8,44.987344757826754,0.0,0.0,1.0,359.89875806261404
Barbell Curl,2020-01-06,6,44.987344757826754,0.0,0.0,1.0,269.92406854696054
Barbell Curl,2020-01-06,6,44.987344757826754,0.0,0.0,1.0,269.92406854696054
Barbell Curl,2020-01-06,6,44.987344757826754,0.0,0.0,1.0,269.92406854696054
Barbell Curl,2020-01-06,6,44.987344757826754,0.0,0.0,1.0,269.92406854696054
Barbell Curl,2020-03-01,10,44.987344757826754,0.0,0.0,1.0,449.87344757826753
Barbell Curl,2020-03-11,8,49.985938619807506,0.0,0.0,1.0,399.88750895846005
Barbell Curl,2020-01-08,6,44.987344757826754,0.0,0.0,1.0,269.92406854696054
Barbell Curl,2020-01-31,8,49.985938619807506,0.0,0.0,1.0,399.88750895846005
Barbell Curl,2019-09-21,10,39.988750895846,0.0,0.0,1.0,399.88750895846005
Barbell Curl,2019-09-21,10,39.988750895846,0.0,0.0,1.0,399.88750895846005
Barbell Curl,2019-09-21,11,49.985938619807506,0.0,0.0,1.0,549.8453248178826
Barbell Curl,2019-09-21,10,49.985938619807506,0.0,0.0,1.0,499.8593861980751
Barbell Curl,2020-01-29,8,49.985938619807506,0.0,0.0,1.0,399.88750895846005
Barbell Curl,2020-02-08,10,49.985938619807506,0.0,0.0,1.0,499.8593861980751
Barbell Curl,2019-09-11,8,39.988750895846,0.0,0.0,1.0,319.910007166768
Barbell Curl,2019-09-11,7,39.988750895846,0.0,0.0,1.0,279.921256270922
Barbell Curl,2019-09-11,10,39.988750895846,0.0,0.0,1.0,399.88750895846005
Barbell Curl,2020-01-29,8,49.985938619807506,0.0,0.0,1.0,399.88750895846005
Barbell Curl,2019-12-06,8,39.988750895846,0.0,0.0,1.0,319.910007166768
Barbell Curl,2019-12-06,8,39.988750895846,0.0,0.0,1.0,319.910007166768
Barbell Curl,2019-12-06,8,39.988750895846,0.0,0.0,1.0,319.910007166768
Barbell Curl,2019-09-11,10,39.988750895846,0.0,0.0,1.0,399.88750895846005
Barbell Curl,2020-02-13,10,39.988750895846,0.0,0.0,1.0,399.88750895846005
Barbell Curl,2019-12-19,16,24.992969309903753,0.0,0.0,1.0,399.88750895846005
Barbell Curl,2020-01-22,8,49.985938619807506,0.0,0.0,1.0,399.88750895846005
Barbell Curl,2019-09-03,8,44.987344757826754,0.0,0.0,1.0,359.89875806261404
Barbell Curl,2020-02-08,6,49.985938619807506,0.0,0.0,1.0,299.915631718845
Barbell Curl,2019-12-06,8,39.988750895846,0.0,0.0,1.0,319.910007166768
Barbell Curl,2020-03-11,8,49.985938619807506,0.0,0.0,1.0,399.88750895846005
Barbell Curl,2020-03-11,8,49.985938619807506,0.0,0.0,1.0,399.88750895846005
Barbell Curl,2020-03-11,8,49.985938619807506,0.0,0.0,1.0,399.88750895846005
Barbell Curl,2019-09-03,8,44.987344757826754,0.0,0.0,1.0,359.89875806261404
Barbell Curl,2019-12-19,18,24.992969309903753,0.0,0.0,1.0,449.87344757826753
